1466 2204 44460 Greystones, Ireland
1367 1517 111779 Hopkins, SC
2651 1417 24666 Oxford, MI
2614 1161 30934 Borlnge, Sweden
468 806 74760 Villingen-Schwenningen, Germany
988 122 100700 Schertz, TX
2406 2626 143191 Streamwood, IL
2656 1378 52374 Skien, Norway
2681 2309 70229 Cincinnati, OH
1306 90 170808 Fairland, IN
734 2382 92353 Swansea, Wales, UK
2013 862 120835 Mesquite, NV
212 566 63536 Lone Rock, WI
662 780 62009 Newport, RI
990 799 128865 Lemoore, CA
973 2979 176103 Bridgeview, IL
2227 214 32616 Bainbridge Island,WA
587 1038 22159 Pleasant Grove, UT
2064 1706 142715 Poteau, OK
1456 2411 71522 Burns, TN
2850 348 55938 Fort Madison, IA
1045 1560 36726 Evanston, WY
1345 1382 87201 Cork, Ireland
2468 378 125890 Framingham, MA
2495 1554 167945 Elmira, NY
1745 1956 156062 Gtene, Sweden
504 2706 192460 Liverpool, England
2678 1502 197285 Virginia Beach, VA
288 2364 72538 San Jose, Costa Rica
2030 2661 169889 Sahagn, Spain
770 527 135036 Guildford, England
1706 289 132817 Sheboygan, WI
481 2495 163451 Mobile, AL
155 106 163522 Prattville, AL
2291 1689 56478 Kerrville, TX
1067 2629 46622 Stratford Upon Avon, England
1270 275 155639 Oklahoma City, OK
1438 1518 170996 Sheridan, WY
1767 125 78493 Penn Yan, NY
960 592 64187 Kotka, Finland
518 2241 102590 Port Erin, England
1314 58 51452 Niceville, FL
933 288 40850 Bromley, England
950 1110 1903 Bilbao, Spain
2787 822 94973 Moscow, Russia
2120 918 107185 Gainesville, GA
2678 2087 19902 Brighton, MI
2847 764 198102 Sombor, Yugoslavia
2100 949 164367 Torhout, Belgium
977 1865 77524 Monmouth Junction, NJ
2087 689 63523 Port St. Lucie, FL
685 897 141901 Cordoba, Argentina
2958 550 45867 Kenniwick, WA
1015 2278 78549 Jackson, MI
2447 1729 173394 Frankfort, MI
2933 1103 126664 Stratford, TX
2465 810 61667 Oak Ridge, TN
2052 769 37050 Traverse City, MI
50 2371 113409 Aberystwyth, Wales, UK
1869 1851 100127 Whakatane, New Zealand
1517 2103 79080 Great Bend, KS
2826 316 169781 Tylden, Australia
1899 2888 82877 Chattanooga, TN
2580 1310 159232 Fordyce, AR
979 2471 151336 Cleveland, TN
796 1736 94276 Wappingers Falls, NY
370 2756 70754 Malin, OR
1749 969 158469 Glenwood Springs, CO
2269 2374 167842 Grafton, NSW, Australia
1991 2393 192116 Martinsville, IN
2094 553 13661 Derry, NH Des Moines, IA
508 1194 65328 St. Peter, MN
242 1118 145277 Aden, Yemen (PDR of)
2728 2934 35757 Inglis, FL
1227 1126 90732 Bahrein, Bahrein
352 738 117742 Freehold, NJ
1157 2763 178571 Monroeville, AL
2338 767 50504 Meekatharra, W.Australia
1798 1593 134868 Saint Paul, MN
2168 745 151887 New Bedford, MA
1107 477 162751 Carlisle, England
522 1509 93439 Canby, MN
19 138 188574 Rome, GA
1763 2829 185151 Montgomery, AL
1886 2748 122866 Troy, MI
1664 2363 57586 Cairns, Australia
1040 1149 47636 Ticonderoga, NY
2867 1955 57754 Santander, Spain
1340 1989 20220 Sao Paulo, Brazil
2161 2664 74208 East Stroudsburg, PA
2122 802 34536 Detroit, MI
2346 967 65160 North Grosvenordale, CT
1305 1959 182122 Columbus, GA
2285 565 65272 Perris, CA
1446 2623 162212 Coos Bay, OR
2997 2224 119502 Wawa, ON, Canada
596 815 144108 Tullamore, Ireland
1517 1443 44913 Waller, TX
1908 2560 8454 Boden, Sweden
2058 310 59991 Boxford, MA
2339 1015 173366 Greymouth, S.I., New Zealand
2335 1890 97220 Steilacoom, WA
948 2416 112667 Conover, NC
2886 407 130653 Methuen, MA
267 1570 83766 Albacete, Spain
2026 924 19320 Singapore
950 2659 122515 Peabody, MA
2224 60 10401 Great Falls, MT
1475 2422 162649 Krynica, Poland
1033 1759 23025 Usti nad Labem, Czech Republic
1714 797 147719 Aiken, SC
2492 2462 63410 Texhoma, OK
1946 2790 180203 Stevens Point, WI
1327 2608 48215 Marion, AL
1461 1596 80407 Tinley Park, IL
2426 2160 167257 Crown Point, IN
1080 2736 132989 Nelson, New Zealand
2171 2857 83743 Seneca, SC
136 89 166107 Basingstoke, England
2591 2723 144582 New Iberia, LA
407 2790 38314 Floyd, VA
2000 2841 163080 Pakenham, VC, Australia
1250 2198 142517 Inverness, FL
1113 1213 8744 Denver, CO
1011 2473 150501 Edmond, OK
2845 2836 168290 Jansen, NE
547 1583 27940 Dundalk, Ireland
345 239 106215 Sarnia, ONT, Canada
1660 1499 93822 Campbellton, NB, Canada
2617 2161 148907 Lincoln, England
1603 1930 5056 Danville, VA
2051 2176 128394 San Luis Obispo, CA
2629 1356 77197 Woodinville, WA
2313 2501 173646 Hoorn, Netherlands
1958 2726 164569 Mocksville, NC
691 1727 98084 Trento, Italy
645 2926 37392 Stafford, VA
2611 80 123028 Whitefish, MT
285 2307 133966 Los Angeles, CA
650 1763 185848 Sumter, SC
2788 2841 83063 Williams Lake, BC, Canada
2846 98 64631 Genoa, Italy
1270 32 138878 Aberdeen, Scotland
2842 833 179471 Medellin, Colombia
2436 25 9327 Inglewood, CA
1515 783 190779 Innsbruck, Austria
236 1773 116031 Beer-Sheva, Israel
2709 115 127994 Layton, UT
783 2815 148777 Dededo, GM
2067 425 90786 Rome, NY
1964 836 136713 Apple Valley, CA
1224 2224 32197 Klazienaveen, Netherlands
1628 2634 85911 Madison, GA
1486 316 91240 Atlantic City, NJ
988 1572 153322 Portree, Scotland
1633 726 83905 Villata, Italy
140 1299 66501 Carbondale, IL
288 2333 185984 Banner Elk, NC
2682 2957 79654 Nipomo, CA
1867 613 135978 Leesville, LA
2050 617 177482 Glens Falls, NY
2962 1301 142628 Santos, Brazil
1311 1909 38449 Corsicana, TX
1343 1786 139154 Canute, OK
2452 310 153924 Charlevoix, MI
1189 1067 145779 Greensboro, NC
784 1845 12626 Jefferson, WI
1098 238 158550 Grand Bend, ONT, Canada
2945 264 89199 Letterkenny, Ireland
2974 1141 185126 Mount Newman, W.Australia
67 1217 127344 Hobart, Australia
1570 2602 126815 Bentonville, AR
1235 2674 66992 Lake Wales, FL
2762 1013 87531 Zwolle, Netherlands
2463 758 46758 Paramount, CA
689 1035 111281 Stratford, ON, Canada
387 165 93115 Mauritius, Indian Ocean
2967 2502 61324 Blacksburg, VA
2437 2660 174848 Plainville, CT
852 2452 8028 Grebbestad, Sweden
1033 2305 63638 Whittier, CA
1668 2740 161894 Salem, IL
2613 2759 28835 Lancaster, England
1684 1140 150469 Brest, France
2205 2014 13206 Findlay, OH
2402 259 31778 Gillett Grove, IA
1473 1281 151665 West Milford, NJ
921 1941 74851 Ennis, Ireland
382 2228 138270 Florianopolis, Brazil
155 55 8819 Kouvola, Finland
2911 534 66941 Sarasota, FL
2475 2359 85299 Royan, France
2982 2072 52224 Alymer, ONT, Canada
1241 1864 128023 Livingston, NJ
2311 2239 85590 Monclova, Coahuila, Mexico
1632 634 126224 Ann Arbor, MI
1184 96 9427 North Haven, CT
1850 1385 111213 Monmouth, OR
722 1871 2886 Haarlem, Netherlands
2933 1867 89867 South Amboy, NJ
307 2582 87856 Brownwood, TX
382 2321 2194 Reggio nell'Emilia, Italy
2649 1021 166690 Szczecin, Poland
2618 720 161916 Vitoria, Spain
846 467 68853 Valencia, Venezuela
298 1779 54868 Balladonia, W.Australia
1248 2218 9459 Salisbury, England
707 2998 5385 Palm Beach Gardens, FL
1438 2391 168558 Thomasville, NC
905 2078 109954 Shullsburg, WI
903 888 88786 Saint John's, Antigua
1293 2762 81851 Fairfield, CA
1214 803 100507 Saint Polycarpe, QU, Canada
2562 664 110907 Farnham, England
1717 589 35168 San Francisco, CA
858 1972 171128 Grahamstown, South Africa
41 1946 173764 Karlstad, Sweden
2345 1923 161979 Oshkosh, WI
2670 499 71379 Ruston, LA
185 194 77409 Orem, UT
1158 1512 147092 Lyons, CO
2213 81 105211 Belcourt, ND
274 2654 79201 Nuuk (Godthb), Greenland/Denmark
1934 1925 60857 Moosonee, Canada
369 2998 89427 Luanda, Angola
141 2973 56105 Osterhofen, Germany
2895 1516 66255 Napa, CA
2247 1674 106499 Tilburg, Netherlands
480 1218 185583 Puerto de la Cruz, Tenerife/Spain
2643 2519 102185 Westport, Ireland
1502 373 183383 Giebelstadt, Germany
1215 1171 133263 Hartford, AL
1181 2855 187125 Barranquilla, Colombia
446 2407 114090 Bettendorf, IA
1478 2205 50480 Fort Lauderdale, FL
1643 2561 39670 Indianapolis, IN
691 381 94907 Oroville, CA
19 2987 40077 Sherbrooke, Canada
791 1963 107328 Limeira, Brazil
2661 1284 151487 El Vendrell, Spain
1614 158 24446 Miami, FL
1982 2271 110420 Mackay, QL, Australia
2481 2182 169273 Tampico, Mexico
1310 925 25102 Schwelm, Germany
2353 2713 189488 Sidney, MT
2402 2143 163423 Daytona Beach, FL
36 1044 70528 Beckley, WV
2100 2851 72045 Ledenscheid, Germany
19 1071 19947 Piscataway, NJ
2431 1701 112839 Wilton Manors, FL
965 488 172431 Castro Valley, CA
1416 2956 159151 Lisbon, OH
2097 2897 44284 Lapeer, MI
139 602 163734 Landau/Pfalz, Germany
2260 2478 1136 Emporia, KS
1225 2756 157894 San Jose, CA
2173 2908 4762 Wysox, PA
75 145 27803 Ballarat, Australia
2784 1442 45343 La Mesa, CA
975 2718 35648 Anderson, SC
2031 1461 44356 Coeur d'Alene, ID
2540 734 20151 Memphis, TN
1949 1197 90923 Redmond, OR
35 1804 121815 Half Moon Bay, CA
2875 2243 174396 Odenton, MD
955 2187 121429 Menard, TX
2269 2074 129458 Millsboro, DE
375 2614 50776 Ponte-Pitre, Guadeloupe
220 2048 130867 Nuneaton, England
1805 1779 134171 Burns Flat, OK
2161 1729 84571 Oshawa, Canada
2642 802 49933 Terre Haute, IN
1897 1749 156261 Grand-Prairie, AB, Canada
238 1791 34556 Mankato, MN
1472 833 153595 Bowling Green, OH
1540 2041 8776 Johnson City, TN
1281 1915 161819 Fargo, NM
1409 1092 109282 La Plata, MD
1036 811 65042 Scarborough, England
2996 1233 152835 Murrysville, PA
2580 652 182997 Cabanatuan City, Philippines
1387 1036 176623 Kingwood, TX
2881 1966 118246 Monterey, CA
2761 215 153646 Junction, TX
2204 1990 145665 Bethlehem, NH
1804 2072 48873 Claremont, CA
2062 2911 14738 Jacksonville, FL
605 1458 56521 Northome, MN
149 441 40778 Salem, OH
53 874 11906 Chandler, QUE, Canada
146 2013 21313 Auckland, New Zealand
2546 1987 92106 Saint Simons Island, GA
560 1650 193171 Lubeck, Germany
658 1287 130715 Pithiviers, France
1526 2289 27948 Petersburg, VA
1479 2722 137923 Lumpkin, GA
2892 1480 42217 Livingston, MT
690 456 107860 General Roca, Argentina
192 643 56204 Madison, WI
1241 132 15320 South Lake Tahoe, CA
447 836 27158 Jnkping, Sweden
1636 2536 112033 Selayang, Malaysia
469 161 21888 Staunton, VA
1819 926 52674 Salisbury, CT
536 1572 11018 Yoakum, TX
454 1590 99663 East Brunswick, NJ
2432 2850 84063 Coppell, TX
2594 216 103990 Brunswick, GA
1764 865 133406 L'Anse, MI
634 393 74759 Hollywood, FL
2461 2476 36827 Rutland, VT
916 2311 56070 Farnborough, England
2159 43 14896 L'viv, Ukraine
588 87 67352 Nuremberg, Germany
2951 2435 101060 Meuselwitz, Germany
1142 697 57569 South Hill, VA
14 56 190693 Dover, DE
2242 1659 198155 Netphen, Germany
2086 1692 76709 Ludvika, Sweden
1034 2065 118674 Gelsenkirchen, Germany
1679 2013 130131 Guadalajara, Mexico
1094 2644 128426 Gadsden, AL
852 2898 122784 Lynbrook, NY
929 1423 21112 Derby, Western Australia
2282 2430 184062 Waddington, NY
1875 2628 64568 Conway, SC
2567 2618 22216 Doha, Qatar
482 2984 136731 Tomar, Portugal
2513 2667 18330 Gilman, IL
932 858 36723 Ironton, OH
2925 1759 33719 Haugesund, Norway
665 258 95678 Charlestown, NV, West Indies
1966 2050 152509 Shrewsbury, MA
2401 1359 37541 Lisse, Netherlands
2476 624 151364 Bolingbrook, IL
2558 1647 146966 Rawlinna, W.Australia
1006 1614 87722 Porterville, CA
2903 2993 59511 Charlottesville, VA
593 2528 134204 Nassau, Bahamas, WI
784 2976 148109 East Liverpool, OH
1853 901 29499 Savannah, GA
873 1634 147914 Everett, WA
880 119 174447 Pisa, Italy
2420 2150 8589 Venice, Italy
1849 2565 50808 Houston, TX
2003 2141 159492 Wagga Wagga, NSW, Australia
502 1286 56248 Mount Vernon, WA
1032 2866 123924 Liberty, MO
830 1908 162193 Washington, DC
1017 949 51515 Stratford, CT
2225 1703 16920 Hamilton, Bermuda
701 369 91731 Purcellville, VA
1631 750 56349 Slough, England
907 477 48727 Rio de Janeiro, Brazil
2229 475 76174 Campos, Brazil
2112 337 35272 Cannes, France
1190 1562 109422 Beirut, Lebanon
2195 2314 85712 Pontiac, MI
877 347 19351 Dakar, Senegal
1747 1898 70327 Iowa City, IA
2860 1517 122846 Tashkent, Uzbekistan
29 118 132206 Burlington, ON, Canada
1840 2687 132131 Lahaina, Maui, HI
1419 1532 130920 Sevilla, Spain
2819 2140 40286 Mount Pleasant, NC
1713 1219 167074 Palermo, Italy
1483 1171 177582 Pittsburgh, PA
2200 1817 104130 Baie Verte, NF, Canada
1524 612 66826 Visby, Gotld., Sweden
1874 1704 161630 Pirot, Serbia
389 2438 37598 Ridge, NY
2585 1627 89207 Radlett, England
2254 846 152489 Eugene, OR
1935 1988 66212 Lansing, KS
228 2300 153041 Huesca, Spain
68 231 75598 Stockholm, Sweden
652 548 138879 Griffith, NSW, Australia
2916 2121 80775 Yakima, WA
1926 1423 198235 Eau Claire, WI
290 2898 156269 Skagway, AK
748 2014 41853 Perry, FL
2099 2477 119122 Chandigarh, Punjab, India
399 948 158095 Springerville, AZ
2019 841 178649 Gypsumville, Canada
1557 1469 61345 High Point, NC
249 2443 189232 Roslyn, WA
1036 1079 19649 Middletown, MD
507 874 35905 Southern Cross, W.Australia
2431 1114 23416 Powell River, BC, Canada
1621 1366 167745 Saint Andrews, Scotland, UK
1080 2502 89604 Vilnius, Lithuania
1038 2498 172155 Leiden, Netherlands
1416 817 100714 Indiana, PA
524 845 52526 Lake Park, MN
1433 2841 163234 Blytheville, AR
1241 2600 106039 Boucherville, Canada
654 1649 51183 Naples, FL
844 2573 198732 Steenwijk, Netherlands
847 2759 157836 Solihull, England
529 1582 86516 Girona, Spain
2440 386 15242 Sapporo, Japan
2580 852 63257 Zywiec, Poland
487 2613 194433 Glasgow, Scotland
1292 2352 187669 Salem, IN
321 1876 50964 Nicosia, Cyprus
1778 955 177230 Leonardtown, MD
461 914 174706 New Britain, CT
2208 622 177708 Falun, Sweden
1571 1575 89136 Malm, Sweden
255 2463 37092 Albuquerque, NM
1071 2598 159551 Homcourt, France
216 1958 57164 Lihue, Kauai, HI
2589 1237 94922 Calcutta, India
1967 1997 34936 Marion, NC
2022 1066 178386 Olivia, MN
2548 954 11036 Frankfurt/O., Germany
231 17 164503 Misawa, Japan
2420 2778 50963 Halifax, NS, Canada
1476 2052 182664 Windsor, England
2205 1669 104886 Sandviken, Sweden
1089 668 99984 Simla, CO
1619 347 121297 Wollongong, Australia
1472 865 193295 Las Palmas de Gran Canaria, Spain
381 1455 22642 Anaheim, CA
1576 2627 110121 Linz, Austria
1973 1470 156107 Virginia, MN
869 1676 188462 Fishers, IN
2777 1937 121603 Christchurch, New Zealand
1013 2974 76876 Tver' (Kalinin), Russia
1400 81 189146 Cartagena, Colombia
744 1057 87604 Salford, England
665 1416 11351 Lindsay, ONT, Canada
402 1264 36332 Clarksville, MD
1020 220 186574 Oak View, CA
2120 926 172986 Estevan, SSK, Canada
2368 2388 17141 Lansing, MI
2020 775 62273 Khartoum, Sudan
1435 2481 183753 Lake Charles, LA
1935 1259 136094 Nortingen, Germany
2165 636 196851 Zouteland, Netherlands
1872 1135 180285 Spiro, OK
2155 1292 195185 Minneapolis, MN
1872 2663 176696 Sleaford, England
9 961 94757 Medford, OR
2257 1065 87878 Woodstock, IL
816 2522 156743 Birkerd, Denmark
2234 503 93425 Iraklion, Greece
174 426 24531 Norwalk, CT
1890 580 156559 Providence, RI
1573 1460 27112 Hull, QU, Canada
787 2660 34491 Keyser, WV
1608 1251 44922 Hackensack, NJ
2728 1167 138143 Sydney, NS, Canada
2368 1903 125270 Honoka'a, HI
2334 23 163152 Poulsbo, WA
2131 1420 39171 Wiscasset, ME
711 2838 73671 Nottingham, England
2530 1276 178721 Fort Polk, LA
1335 260 89641 Charter Oak, IA
668 1091 194012 Port Townsend, WA
575 248 192609 Sliema, Malta
1739 1411 74622 Shelbyville, TN
1374 616 64868 Ocean City, NJ
2622 2577 165545 Dunedin, New Zealand
776 899 53343 Wildomar, CA
1217 2027 88723 Marche-en-Famenne, Belgium
1820 2273 62807 Legnano, Italy
2095 301 121220 Galesburg, IL
997 2186 100201 Roswell, GA
310 264 101160 Staten Island, NY
187 1966 28376 Loosduinen, Netherlands
2194 2016 31348 Middletown, NY
2776 1988 179920 Perrysburg, OH
88 391 73124 Cessnock, NSW, Australia
1498 648 49167 Kingston, NY
674 2195 59341 Garden City, MI
1165 2133 95840 Saratoga Springs, NY
1021 1771 48914 Roselle, IL
1771 2127 110300 Beaufort, SC
163 637 194704 Norristown, PA
868 1188 185193 Brea, CA
1464 948 74588 Ottumwa, IA
2386 2260 115955 Hazleton, PA
958 325 89813 Anchorage, AK
1123 918 128950 Lompoc, CA
2981 244 141181 Wabash, IN
2492 923 42005 Ciudad Real, Spain
2180 2369 103088 Macedonia, OH
1717 1925 188830 Saltillo, Mexico
508 1192 162068 Paradise, CA
1011 1223 36246 Cootamundra, NSW, Australia
1998 810 138228 Enterprise, AL
2110 524 197241 Nixon, TX
1383 1520 121328 Maracaibo, Venezuela
457 1069 141809 Zruc nad Szavou, Czech Republic
1433 2736 180271 Mount Tom Price, W.Australia
898 1485 192664 Armenia, Colombia
556 904 128343 Leeds, England
2416 876 186436 Choudrant, LA
2267 635 144877 Hayward, WI
214 1496 192545 Carroll, IA
1719 1581 86715 Papeete, Tahiti, Fr. Polynesia
1787 965 30509 Magalia, CA
59 2311 28800 Walnut Creek, CA
829 2549 61524 Saint George's, Grenada
1813 699 147895 Wilkes-Barre, PA
1116 2337 79364 Northam, W.Australia
1932 2291 122897 Monteria, Colombia
2528 2282 83663 Bellingham, WA
2546 1945 176272 Rheda-Wdbrck, Germany
2688 1892 153206 Dusseldorf, Germany
614 141 124147 Hesperia, CA
185 2275 187679 Lusaka, Zambia
2124 931 175512 Edmonton, Canada
2616 1318 165712 Tuzla, Bosnia
2127 902 116411 San'a', Yemen
2636 127 37475 Ponte Vedra, FL
1048 859 79527 Chicoutimi, Quebec, Canada
467 678 9191 Honesdale, PA
317 698 39930 Oviedo, Spain
2940 2999 186073 Pozega, Croatia
2721 1632 127993 Vanderbijlpark, South Africa
1219 2227 160963 Hyderabad, India
1971 2311 109504 Casino, NSW, Australia
1829 963 88555 Bern, Switzerland
904 1884 153462 Arboga, Sweden
1633 981 179986 Lublin, Poland
674 1532 159509 Ramat-gan, Israel
1038 2796 135656 Stamford, CT
2723 1076 74298 Elyria, OH
2077 652 29960 Libby, MT
2688 94 26026 Lewiston, ID
1563 1393 123065 Stoke-on-Trent, England
2299 1635 79480 Ocean Springs, MS
2569 2378 127983 Pearl River, NY
270 2930 21455 Burnie, Australia
186 1250 1173 Cedar Falls, IA
1975 1065 18701 Albury, NSW, Australia
119 2391 150586 Berkley, MA
2352 2923 54307 Coventry, CT
607 1520 139819 Belgrade, Serbia
61 2337 182606 San Juan, PR
1333 1592 192506 Sebastian, FL
770 1998 176556 Ardmore, OK
2839 2636 67486 Zeeland, MI
1666 2419 25067 Manjimup, W.Australia
442 2716 20984 Bedford, MA
738 1644 139468 Cochabamba, Bolivia
1388 706 182352 Al Kharj, Saudi Arabia
2302 606 9640 Talala, OK
1567 1037 57857 Bismarck, ND
272 355 31005 Roznov p/R, Czech Republic
1610 936 122977 McMinnville, TN
2242 1575 37232 Marlette, MI
238 2367 166409 Berwick-upon-Tweed, England
959 916 127045 Torrington, CT
2042 1093 154829 Ljoerdalen, Norway
1886 2781 74043 Laguna Beach, CA
1032 1909 8428 Brooten, MN
2926 1872 43135 Messina, Sicily/Italy
2188 930 135605 Oaxaca, Mexico
1765 1668 101491 Fort Knox, KY
2359 2772 170738 La Crescent, MN
46 2239 195908 Brisbane, Australia
337 1226 25820 Douala, Cameroon
2550 2737 74752 Morristown, NJ
1365 2803 71615 Konstanz, Germany
964 2317 71691 Kuwait City, Kuwait
523 1213 92588 Ashland, KY
2410 1874 102488 Novosibirsk, Russia
2063 2823 181216 Newent, England
929 2441 118114 Laredo, TX
1452 1783 61000 Oberlin, OH
1836 1552 199245 Meridian, MS
629 2158 188135 Medicine Hat, AB, Canada
2325 1873 106851 San Fernando, CA
2478 696 71651 Trout River, NFL, Canada
2547 144 104821 Manchester, England
489 424 90761 Coffs Harbour, Australia
1682 2494 31942 Hedemora, Sweden
1655 2548 23521 Arnhem, Netherlands
441 2920 71616 Jackson, TN
1449 2649 135156 Pembroke Pines, FL
1398 1897 11955 Sylva, NC
1396 1552 185567 Reston, VA
2414 323 21424 Mamoutzou, Mayotte (Comores)
1291 2674 163722 Rockport, MA
280 2211 160454 Elgin, Scotland, UK
2170 1034 62625 Greenville, SC
2599 50 146975 Goodland, KS
2542 18 113505 Norseman, W.Australia
1975 2259 70064 Salinas, CA
150 1035 148829 Millet, AL, Canada
2163 1486 142068 Beaumont, TX
1839 2005 73434 Lake Havasu City, AZ
452 159 65649 Redding, CA
2386 1899 122992 Hana, Maui, HI
777 1814 158739 Sequim, WA
1353 194 94725 Lenox, MA
724 2456 102073 Selden, NY
6 484 141529 Brno, Czech Republic
2433 1437 124002 Gardner, MA
728 1480 60635 Lake Grace, W.Australia
2558 439 123046 Oakdale, CT
2552 1943 116110 Abington, PA
124 2843 34100 Salem, OR
1979 1092 68934 Kokomo, IN
2007 2903 164403 Colon, Panama
2305 2229 1004 Montevarchi, Italy
2685 628 58730 Napier, New Zealand
1113 87 59280 Stavanger, Norway
2255 1935 140027 Benicia, CA
494 1839 178214 Mora, Sweden
600 1093 104671 Helsinki, Finland
1907 1036 41932 Centralia, IL
1971 1 54984 Midland, TX
638 2584 49177 Juva, Finland
5 578 56270 Alamosa, CO
2210 1404 135159 Siegen, Germany
445 753 75768 Montpelier, VT
916 2387 44299 Naumburg/Saale, Germany
2384 1509 198042 Meriden, CT
679 2830 79041 West Hempstead, NY
452 802 172058 Wauwatosa, WI
1692 2488 27063 Solingen, Germany
2346 834 103412 Snyder, TX
416 2 193073 Zielona Gra, Poland
2484 2560 82947 Port Washington, WI
65 814 189939 Odessa, TX
40 773 76160 Perpignan, France
1060 735 116504 Heath, OH
635 2604 115291 Marietta, OH
2423 635 196939 Payson, AZ
2523 2956 143301 Deggendorf, Germany
2860 1424 189524 Versailles, KY
587 1041 147945 Riverton, WY
1662 2717 194668 Weymouth, MA
2775 784 102831 Manitowoc, WI
624 1406 166559 Road Town, Brit.VirginIslds.
2188 724 89257 Poos de Caldas, Brazil
91 88 72018 Glendora, CA
12 779 156517 Kinston, NC
1017 1059 56098 Andover, MA
456 630 11543 Palominas, AZ
2146 1401 174294 Karlshamn, Sweden
573 2834 192307 New Braunfels, TX
97 118 42611 Wonalancet, NH
2686 943 8853 Koszalin, Poland
278 1043 47855 Fort Bragg, CA
2380 2792 126030 Como, Italy Concord, CA
1343 2739 55469 Lyon, France
351 953 10574 Cardiff, Wales, UK
851 2612 102989 Pleasant Hill, CA
966 366 182081 Gjvik, Norway
33 618 188752 Victorville, CA
2617 632 115506 Port-of-Spain, Trinidad & Tobago, W.Indies
2760 840 113201 Inverness, Scotland
1334 1443 155184 Kiel, Germany
787 2515 6055 Wyndham, W.Australia
888 1413 77726 McQueeney, TX
643 1798 132316 Buffalo Grove, IL
641 2101 128170 Poynette, WI
550 2654 188107 Kettering, England
128 1305 36895 Coalinga, CA
1904 1852 160515 Townsville, Australia
1699 941 141607 Rochester Hills, MI
2835 2012 145250 Natchitoches, LA
1001 1841 181509 Belem, Brazil
1929 2967 152784 Franklin, PA
703 2721 35692 Coleraine, Northern Ireland
2679 1151 162006 Palestine, TX
2920 2851 70884 Scunthorpe, England
2445 2333 149293 Raleigh, NC
1040 1078 158755 Belfield, ND
310 1201 151425 Bracknell, England
2174 568 25030 Cranbrook, BC, Canada
2831 666 169748 Lebanon, KY
2328 661 85350 Londonderry, NH
1763 1791 124603 Karlsruhe, Germany
1863 347 170255 Charleston, VT
117 1460 47849 White Lake, MI
2368 516 74289 Herten, Germany
1697 223 61607 Vicksburg, MS
1928 1421 170814 Boston, NY
1015 117 42373 Spring Hill, FL
1024 1977 40396 Denton, TX
2893 2004 48443 Owen Sound, Canada
1799 2321 111194 La Crosse, WI
1619 679 82435 Washington, KS
1936 1889 58463 Hyannis, MA
2405 2256 56111 Peterborough, Canada
2748 2711 50310 Potsdam, NY
1486 225 81278 Trs Pontas, Brazil
2365 1241 135565 Ulm, Germany
2505 371 62155 Long Beach, CA
231 1830 194868 Taylors Island, MD
338 1538 31487 Hundred-Mile House,Canada
2544 2396 105541 Mount Holly, NJ
508 769 31346 Dnipropetrovsk, Ukraine
2807 54 32415 Leigh Creek, SA, Australia
282 2200 147505 Midwest City, OK
1775 1351 22218 Toulon, IL
1559 1917 130294 Palo Alto, CA
1213 990 193918 Monte Carlo, Monaco
2613 387 9519 Saint Lucie, FL
667 1046 57152 Duluth, GA
1546 771 67640 Sunnyvale, CA
1434 1299 48165 Ben Guerir, Morocco
1074 1454 121884 Mikkeli, Finland
1847 2493 108779 Lethbridge, AL, Canada
29 837 27599 Greeley, CO
525 1381 192918 Marshfield, MA
124 734 48959 Huancayo, Peru
114 1373 1258 Lagos, Nigeria
490 793 105795 Barnstaple, England
649 2040 35294 Williston, ND
497 537 164085 Cape Town, South Africa
2625 2462 139233 Niagara Falls, Canada
1814 1873 181963 Milan, MI
9 2208 73100 Stadskanaal, Netherlands
2353 336 132020 Plantation, FL
1404 1093 187389 Weyauwega, WI
2758 2430 73194 Sioux Falls, SD
1285 2553 156882 Jakarta, Indonesia
1499 223 27019 York, England, UK
1123 985 189334 Lima, OH
2255 1890 114233 Burns, OR
803 1889 4789 Riga, Latvia
2982 1224 174060 Aalborg, Denmark
2784 1697 134543 Saint Albans, England
2537 2984 109653 Casablanca, Morocco
1572 258 133747 Phoenix, AZ
2163 2988 158346 Modena, Italy
710 2594 75240 Lake Geneva, WI
676 664 138748 Enniskillen, N. Ireland
456 1778 40145 Boone, IA
2509 2142 172287 Vinkovci, Croatia
2895 1023 186451 Spruce Pine, NC
876 1846 162710 Noril'sk, Russia
1602 519 162525 Fort Davis, TX
850 2435 139959 Fond du Lac, WI
2980 2263 89616 Anna, IL
29 604 95175 Cimarron, NM
123 2897 46450 Bay St. Louis, MS
1799 1198 153724 Arequipa, Peru
818 2532 189600 Sale, VC, Australia
2365 1941 196605 Zephyrhills, FL
971 2163 159521 Marlton, NJ
66 1241 134902 Cambridge, MA
2950 318 96418 Sewanee, TN
1371 2522 116584 Aswan, Egypt
1930 839 74597 Morgan City, LA
961 2991 73925 Santa Maria, CA
2416 2738 193992 Wisconsin Rapids, WI
234 2056 114650 Orleans, France
1936 259 104438 Antananarivo, Madagascar
2021 2363 185698 Rockaway, NJ
129 2447 164011 Rotterdam, Netherlands
2289 750 44520 Massapequa, NY
1207 987 68406 Schiedam, Netherlands
133 2537 151465 Honolulu, HI
884 1648 119398 Queenstown, New Zealand
1917 623 106742 Fort Gaines, GA
721 275 40521 Hobe Sound, FL
2071 1714 140739 South Bend, IN
