2002 955 117166 Aachen, Germany
667 1046 57152 Duluth, GA
514 1774 59243 Dumfries, Scotland, UK
439 2259 10013 Duncan, OK
547 1583 27940 Dundalk, Ireland
1255 922 68316 Dundee, Scotland, UK
189 649 32147 Dunedin, FL
2622 2577 165545 Dunedin, New Zealand
61 1476 99853 Dunfermline, England
555 235 119875 Durango, CO
672 1472 47825 Durant, OK
373 2139 117508 Durban, South Africa
1230 2652 35739 Durham, England
2119 91 186288 Durham, NC
2269 637 91770 Durham, NH
2688 1892 153206 Dusseldorf, Germany
713 2081 196416 Duxbury, MA
1195 1702 168193 Eagle Creek, OR
678 1762 66567 Eagle River, MI
2176 2317 82231 Eagle River, WI
974 2988 180360 Earlysville, VA
1691 361 122910 East Aurora, NY
454 1590 99663 East Brunswick, NJ
990 708 105673 East Grinstead/Gatwick, England
784 2976 148109 East Liverpool, OH
2161 2664 74208 East Stroudsburg, PA
1459 376 12884 Eastbourne, England
1405 1570 126314 Easton, PA
928 2247 43778 Eastport, ME
1926 1423 198235 Eau Claire, WI
160 2396 197432 Ede, Netherlands
2865 1087 21438 Eden, NC
1709 1540 127405 Edgewood, MD
204 2529 174575 Edinburg, IN
1789 313 172961 Edinburgh, Scotland
1011 2473 150501 Edmond, OK
2124 931 175512 Edmonton, Canada
2317 2336 80140 Edwards AFB, CA
1212 263 29929 Eeklo, Belgium
1868 2189 124733 Eerbeek, Netherlands
1842 2349 84424 Effingham, IL
1803 2214 156829 Eggby, Sweden
2125 922 59454 Eibiswald, Austria
1036 1125 28037 Eindhoven, Netherlands
655 2914 48868 Eksj, Sweden
249 924 13713 El Dorado, AR
2506 47 75779 El Dorado, KS
2139 2363 31481 El Paso, TX
341 575 49011 El Portal, CA
790 2442 194936 El Segundo, CA
2661 1284 151487 El Vendrell, Spain
927 87 99023 Elberta, AL
280 2211 160454 Elgin, Scotland, UK
1172 246 35443 Elizabeth, NJ
1592 900 29661 Elizabeth City, NC
2325 1149 91217 Elk Rapids, MI
2531 655 94320 Elkhart, IN
668 2793 51852 Elkhorn, WI
1140 134 90127 Elkland, PA
1875 924 52922 Elko, NV
1799 584 138473 Ellensburg, WA
1071 1511 144209 Ellijay, GA
2557 1791 91568 Elliot Lake, ON, Canada
1963 2962 107955 Elmhurst, IL
2495 1554 167945 Elmira, NY
2940 878 44496 Eltville, Germany
1308 409 88110 Ely, England
2723 1076 74298 Elyria, OH
501 2215 83200 Emerald, QU, Australia
1853 1090 144743 Emlichheim, Germany
2647 2888 183660 Emmaus, PA
1724 959 84375 Emmer-Compascuum, Netherlands
887 515 3716 Emory, TX
2260 2478 1136 Emporia, KS
880 1973 104671 Emporia, VA
399 1912 163190 Encinitas, CA
1066 220 190404 Enfield, CT
2388 2942 62092 Englewood, CO
502 443 9734 Englewood, FL
1750 2295 82342 Englishtown, NJ
921 1941 74851 Ennis, Ireland
676 664 138748 Enniskillen, N. Ireland
1942 1550 173056 Enschede, Netherlands
1998 810 138228 Enterprise, AL
2015 1689 69707 Erfurt, Germany
585 2087 197153 Erie, KS
33 153 11782 Erie, PA
2889 2540 7914 Erkelenz, Germany
820 42 37400 Erlangen, Germany
966 1792 190367 Esbjerg, Denmark
2201 2713 119735 Escanaba, MI
324 389 163977 Escondido, CA
2405 2330 67302 Esperance, W.Australia
2001 1327 121276 Essen, Germany
1074 342 33856 Essexville, MI
2120 926 172986 Estevan, SSK, Canada
2077 958 183160 Eucla, W. Australia
2254 846 152489 Eugene, OR
2373 1665 155271 Euless, TX
2934 2631 74705 Eupen, Belgium
2789 1832 55533 Eureka, CA
1585 2155 81415 Eureka, IL
1045 1560 36726 Evanston, WY
2054 560 125180 Evansville, IN
873 1634 147914 Everett, WA
1381 753 9597 Everman, TX
976 2830 73419 Evesham, England
723 2084 129784 Exeter, England
11 1456 40781 Exmouth, W.Australia
2340 1389 16146 Fair Haven, VT
460 1177 138219 Fairbanks, AK
1293 2762 81851 Fairfield, CA
2515 806 185790 Fairfield, IA
66 2860 23091 Fairfield, OH
1943 733 131983 Fairfield, TX
1162 2114 182171 Fairhope, AL
1306 90 170808 Fairland, IN
2407 813 109675 Fairview, OK
1354 823 6686 Fairview, TN
1966 162 99242 Fall River, MA
2208 622 177708 Falun, Sweden
1281 1915 161819 Fargo, NM
2509 1430 15552 Faringdon, England
2296 1495 6208 Farmingdale, NJ
2642 437 55063 Farmington, ME
1622 1599 195972 Farmington, NM
1354 2904 1921 Farmington Hills, MI
916 2311 56070 Farnborough, England
2562 664 110907 Farnham, England
2662 2629 121704 Faro, Portugal
1150 1837 163164 Fayetteville, AR
816 117 90821 Fayetteville, GA
243 2626 186090 Fayetteville, NC
477 1921 85694 Fayetteville, TN
570 1562 114815 Fcamp, France
1396 184 21364 Fenton, MI
1335 1537 14939 Fernandina Beach, FL
1364 2453 168959 Ferris, TX
2205 2014 13206 Findlay, OH
869 1676 188462 Fishers, IN
2694 2826 110871 Fitchburg, MA
2142 641 118654 Fitzroy Crossing, W.Australia
504 884 93660 Flagstaff, AZ
295 1360 21679 Flemington, NJ
1581 1930 125802 Flint, MI
303 325 138010 Florence, AL
623 1660 40475 Florence, Italy
848 23 4004 Florence, SC
382 2228 138270 Florianopolis, Brazil
580 96 49960 Flower Mound, TX
407 2790 38314 Floyd, VA
2070 1931 81041 Folkestone, England
850 2435 139959 Fond du Lac, WI
2255 2730 30620 Fordham, England
2580 1310 159232 Fordyce, AR
1467 1612 180858 Forest Grove, OR
537 2235 91470 Forked River, NJ
1144 82 92987 Forres, Scotland, UK
1204 464 41480 Forster, NSW, Australia
278 1043 47855 Fort Bragg, CA
1028 1450 33816 Fort Collins, CO
1602 519 162525 Fort Davis, TX
2818 1368 124804 Fort Dodge, IA
1917 623 106742 Fort Gaines, GA
2377 202 194033 Fort Kent, ME
1765 1668 101491 Fort Knox, KY
1478 2205 50480 Fort Lauderdale, FL
2850 348 55938 Fort Madison, IA
1245 1552 86823 Fort McMurray, Canada
1867 1830 156340 Fort Myers, FL
2585 2857 52951 Fort Payne, AL
92 1459 87527 Fort Pierce, FL
2530 1276 178721 Fort Polk, LA
1402 193 20193 Fort Riley, KS
3 2569 33621 Fort Saskatchewan, Canada
2914 1334 144806 Fort Scott, KS
1436 2811 91759 Fort Smith, AR
2193 2661 114955 Fort Wayne, IN
32 905 18396 Fort Walton Beach, FL
1335 2771 140352 Fort Worth, TX
680 2356 130784 Fountain Valley, CA
1474 2447 28004 Fowler, KS
2787 1977 113053 Foxworth, MS
2468 378 125890 Framingham, MA
2770 381 97133 Frankfort, IL
275 294 186015 Frankfort, KY
2447 1729 173394 Frankfort, MI
823 922 150739 Frankfurt/M., Germany
2548 954 11036 Frankfurt/O., Germany
2823 2288 195766 Franklin, NC
1929 2967 152784 Franklin, PA
891 1440 115904 Fraser, MI
1311 1227 47652 Frederick, MD
6 694 72832 Fredericksburg, VA
1895 464 98184 Fredericton, Canada
352 738 117742 Freehold, NJ
142 184 32998 Freeland, PA
2743 1007 94430 Freiburg, Germany
2004 554 157976 Fremont, CA
2169 377 110457 Fremont, OH
2106 2305 108214 Freshwater, Isle of Wight, England
1398 195 4196 Fresno, CA
136 1505 85932 Fryeburg, ME
851 1511 132140 Fullerton, CA
1943 405 163013 Funchal, Madiera, Portugal
416 757 12172 Fulton, MO
2182 898 24422 Fuquay-Varina, NC
2677 640 91522 Gaborone, Botswana
1094 2644 128426 Gadsden, AL
463 1813 153530 Gainesville, FL
2120 918 107185 Gainesville, GA
743 2315 120174 Gaithersburg, MD
806 2451 20502 Galax, VA
2095 301 121220 Galesburg, IL
1077 2244 148219 Galion, OH
523 2660 198631 Gallatin, TN
705 1842 58470 Gullivare, Sweden
1071 1519 101130 Gallup, NM
2444 2612 77351 Galveston, TX
1371 75 198166 Galway, Ireland
674 2195 59341 Garden City, MI
2281 2938 13661 Garden City, KS
1084 743 177028 Garden Grove, CA
1392 2838 197094 Garden Plain, KS
210 915 146691 Gardiner, ME
2433 1437 124002 Gardner, MA
2413 2142 46770 Garnett, KS
290 213 147990 Gary, IN
1807 2657 122094 Garza Garcia, Mexico
2967 1027 127057 GaspAckTphptht, QU, Canada
2939 1700 73335 Gastonia, NC
829 981 69142 Geissen, Germany
1034 2065 118674 Gelsenkirchen, Germany
690 456 107860 General Roca, Argentina
646 665 168842 Geneva, Switzerland
2846 98 64631 Genoa, Italy
1707 2510 7399 Gent/Ghent, Belgium
2408 2799 21566 Georgetown, TX
1628 1605 198655 Geraldton, W.Australia
459 1571 67091 Gettysburg, PA
2365 1510 180403 Gibraltar, UK
465 2339 45776 Gibsonburg, OH
1502 373 183383 Giebelstadt, Germany
282 1062 13727 Gilbert, MN
1900 1707 58026 Gilbertsville, KY
1433 1553 64499 Giles Met.Station, W.Australia
2402 259 31778 Gillett Grove, IA
2513 2667 18330 Gilman, IL
2837 1294 125286 Gilroy, CA
2817 1753 29997 Gimo, Sweden
823 1118 130627 Girard, KS
529 1582 86516 Girona, Spain
1216 84 111325 Gisborne, New Zealand
966 366 182081 Gjvik, Norway
1172 2266 95878 Gladstone, QU, Australia
2043 698 199407 Gladwin, MI
10 100 16669 Glasgow, KY
487 2613 194433 Glasgow, Scotland
762 2449 80690 Glen Ellyn, IL
2641 2266 197533 Glendale, CA
91 88 72018 Glendora, CA
2050 617 177482 Glens Falls, NY
348 1832 183065 Glenview, IL
2018 2798 7441 Glenwood, MN
1749 969 158469 Glenwood Springs, CO
187 12 4992 Gliwice, Poland
178 21 11639 Gloucester, England
428 508 185809 Gloversville, NY
345 1269 149068 Gmunden, Austria
1555 909 100069 Gold River, BC, Canada
1518 1000 105904 Gomer, OH
2599 50 146975 Goodland, KS
2261 397 69056 Goose Bay, NF, Canada
2007 2415 55532 Gore Bay, ON, Canada
2118 1164 120128 Goreville, IL
1495 1350 120870 Gordonsville, VA
1570 1528 122255 Goshen, IN
1745 1956 156062 Gtene, Sweden
1532 2301 40620 Gothenburg, Sweden
768 856 101214 Gouda, Netherlands
2269 2374 167842 Grafton, NSW, Australia
858 1972 171128 Grahamstown, South Africa
62 1232 197590 Granbury, TX
1098 238 158550 Grand Bend, ONT, Canada
1931 2356 36091 Grand Blanc, MI
733 851 126090 Grand Cayman Island
2546 2421 27954 Grand Falls, NWF, Canada
1380 1165 158350 Grand Forks, ND
721 2696 111711 Grand Haven, MI
1330 464 168726 Grand Island, NE
2848 2732 126926 Grand Junction, CO
2366 589 58331 Grand Lake, CO
1933 651 140421 Grand Prairie, TX
1897 1749 156261 Grand-Prairie, AB, Canada
1275 679 113291 Grand Rapids, MI
1816 1412 169981 Grand Rapids, MN
707 957 131321 Grand Rapids, OH
1127 2336 8950 Granger, IN
502 56 188678 Grants, NM
2178 1386 19571 Grant's Pass, OR
1709 1234 1699 Grass Valley, CA
612 599 40964 Gravendeel, Netherlands
1487 2531 84341 Gravesend, Kent, England
594 1427 195810 Grayslake, IL
2701 692 109100 Graz, Austria
1517 2103 79080 Great Bend, KS
2224 60 10401 Great Falls, MT
350 2396 19350 Great Neck, NY
852 2452 8028 Grebbestad, Sweden
29 837 27599 Greeley, CO
1737 2070 29297 Green Bay, WI
2349 2669 70261 Green Brier, TN
836 2199 154601 Green Creek, NJ
1429 626 155486 Green Valley, AZ
1366 327 1614 Greeneville, TN
3 1843 141813 Greenfield, IN
1189 1067 145779 Greensboro, NC
1345 1417 105461 Greensburg, PA
1635 2268 68873 Greenville, KY
1756 2297 124646 Greenville, NC
2170 1034 62625 Greenville, SC
2609 382 40496 Greenville, TX
663 1218 187074 Greenwood, IN
2982 2647 28761 Greenwood, SC
2314 1013 50511 Grenoble, France
2339 1015 173366 Greymouth, S.I., New Zealand
1466 2204 44460 Greystones, Ireland
652 548 138879 Griffith, NSW, Australia
2234 2183 90061 Grimsby, England
267 938 43150 Grinnell, IA
2137 108 112020 Groningen, Netherlands
77 2717 137467 Groton, CT
684 379 18619 Grove, OK
490 361 195026 Grove, PA
921 2675 62497 Gruver, TX
1679 2013 130131 Guadalajara, Mexico
1280 478 77007 Guantanamo Bay, Cuba
1946 1130 113527 Guatemala City, Guatemala
1030 364 59039 Guayaquil, Ecuador
2381 631 121572 Guelph, ONT, Canada
28 2768 128724 Guernsey, England
1708 2844 109792 Guetersloh, Germany
770 527 135036 Guildford, England
1049 1017 159056 Guitiriz, Spain
975 1938 137338 Gulf Breeze, FL
1912 616 71495 Gundelfingen, Germany
864 1895 103339 Gunnison, CO
2019 841 178649 Gypsumville, Canada
722 1871 2886 Haarlem, Netherlands
1608 1251 44922 Hackensack, NJ
431 1278 29402 Hackettstown, NJ
2362 2986 18951 Hagerstown, MD
1009 755 54064 Haifa, Israel
35 1804 121815 Half Moon Bay, CA
2420 2778 50963 Halifax, NS, Canada
1480 1690 92020 Halle/Saale, Germany
2553 2554 18350 Halmstad, Sweden
1103 1573 74412 Halstead, Essex, England
783 2294 199085 Hamburg, Germany
826 901 82431 Hamburg, MI
1500 1332 167597 Hamburg, NY
1941 694 166605 Hmeenlinna, Finland
2225 1703 16920 Hamilton, Bermuda
36 1737 137161 Hamilton, MI
1863 1157 122353 Hamilton, OH
2628 2637 34993 Hamilton, Ontario, Canada
1008 2189 5212 Hamilton, New Zealand
1283 291 110015 Hampstead, MD
2399 1074 62929 Hampton, VA
2386 1899 122992 Hana, Maui, HI
622 398 11777 Hanau, Germany
136 2339 58007 Hannibal, MO
2635 1563 171474 Hannover, Germany
2889 1599 87215 Hanoi, Vietnam
1946 462 164284 Hanover, PA
782 89 140019 Hanover/Lebanon, NH
1307 1096 85915 Hant's Harbour, NFLD, Canada
1385 2379 105310 Hardy, AR
35 1778 176853 Hargshamn, Sweden
979 1163 103430 Harrisburg, PA
2824 1785 129962 Harrison, AR
3000 1921 85851 Harrison, MI
870 1555 190046 Harrison, TN
443 1444 96613 Harrisonburg, VA
1751 390 127364 Harrisville, OH
1215 1171 133263 Hartford, AL
315 2477 6330 Hartford, CT
1604 861 164913 Hartford, KY
184 895 83424 Hartland, MI
2836 1874 160948 Hartselle, AL
1388 1697 79914 Hasbrouck Heights, NJ
337 1697 7920 Hessleholm, Sweden
1625 2567 111570 Hastings, England
1476 9 7783 Hattiesburg, MS
2925 1759 33719 Haugesund, Norway
1835 2974 111731 Hauppauge, NY
834 288 76812 Havana, Cuba
929 1892 134172 Haverhill, MA
403 2075 193827 Havre, MT
1654 1911 118704 Hawthorne, NJ
1069 298 31795 Hays, KS
2267 635 144877 Hayward, WI
2386 2260 115955 Hazleton, PA
1060 735 116504 Heath, OH
1176 660 33739 Heber Springs, AR
1682 2494 31942 Hedemora, Sweden
358 328 51132 Heidelberg, Germany
1510 1257 177225 Heilbronn, Germany
523 1660 115528 Heiloo, Netherlands
430 313 42896 Helena, AR
2211 1381 62758 Helena, MT
2688 648 105075 Helmstedt, Germany
1861 34 55697 Helsingborg, Sweden
600 1093 104671 Helsinki, Finland
2348 2269 148607 Hemet, CA
2854 950 114871 Hemlock, MI
333 1308 136724 Henderson, NC
1100 2817 20496 Hendersonville, NC
758 340 131101 Hendersonville, TN
2491 769 151961 Heppenheim, Germany
135 2980 44023 Hermann, MO
1076 2667 87201 Hermiston, OR
2652 1527 89414 Hernando, FL
487 2127 162232 Hernando, MS
2058 1474 113436 Herndon, VA
1287 1327 176745 Herrin, IL
10 1659 63889 Herne, Germany
2061 2759 51680 Herrenberg, Germany
2368 516 74289 Herten, Germany
1334 7 125544 Hertogenbosch, Netherlands
614 141 124147 Hesperia, CA
1274 1216 101893 Hialeah, FL
2582 868 3659 Hickory, NC
923 1355 145398 Hickory Ridge, AR Highland, CA
357 412 43615 Highland, IL
2058 1698 132049 Highland, IN
1710 1707 42639 Highland, NY
2668 767 26519 Highland Falls, NY
443 135 60911 Highlands, TX
1557 1469 61345 High Point, NC
441 2082 70715 Hillsborough, Northern Ireland
2303 356 151779 Hilo, HI
831 2938 9612 Hinesville, GA
886 861 99910 Ho Chi Minh City, Vietnam
67 1217 127344 Hobart, Australia
721 275 40521 Hobe Sound, FL
2702 1984 154310 Hodgenville, KY
342 1651 5435 Hof, Germany
739 2094 14392 Holland, MI
1653 651 112281 Holland, PA
2573 1091 51063 Hollister, CA
634 393 74759 Hollywood, FL
2911 1224 70572 Holmen, WI
55 2110 127913 Holyhead, Wales, UK
1553 2176 9015 Holyoke, MA
463 2897 27313 Holzkirchen, Germany
1071 2598 159551 Homecourt, France
386 2939 69617 Homs, Syria
467 678 9191 Honesdale, PA
683 2331 52561 Hong Kong, China
2368 1903 125270 Honoka'a, HI
133 2537 151465 Honolulu, HI
1255 2447 33038 Hoogeveen, Netherlands
2313 2501 173646 Hoorn, Netherlands
1232 1054 118688 Hopewell Junction, NY
1367 1517 111779 Hopkins, SC
1777 2587 84967 Hopkinsville, KY
1170 2973 80889 Horn, Austria
2215 440 126065 Hornbrook, Denmark
2352 1123 81404 Hornbrook, CA
141 490 8252 Hornepayne, ON, Canada
2020 623 177322 Horsholm, Denmark
1292 1877 140393 Hot Springs, AR
1787 1190 107077 Houghton, MI
1392 2421 177282 Houlton, ME
172 788 78352 Houma, LA
1849 2565 50808 Houston, TX
124 734 48959 Huancayo, Peru
1337 2948 78240 Hudson, OH
228 2300 153041 Huesca, Spain
1449 2441 185644 Hull, England
1573 1460 27112 Hull, QU, Canada
1232 2751 152202 Humacao, Puerto Rico
338 1538 31487 Hundred-Mile House,Canada
1944 2930 192878 Huntington, WV
1604 101 45390 Huntington Beach, CA
2779 1950 16336 Huntsville, AL
541 2073 65267 Huntsville, ON, Canada
1275 409 61798 Huntsville, TX
2449 636 15119 Huskvarna, Sweden
1745 2085 177792 Hutchinson, KS
1529 657 75085 Huy, Belgium
1936 1889 58463 Hyannis, MA
1219 2227 160963 Hyderabad, India
1691 1171 156230 Idabel, OK
1584 2774 162953 Idaho Falls, ID
2265 2552 92911 Ijsselstein, Netherlands
2510 93 31068 Imperial, NE
489 1368 58315 Independence, KS
1416 817 100714 Indiana, PA
1643 2561 39670 Indianapolis, IN
1310 1090 83433 Industry, PA
2436 25 9327 Inglewood, CA
313 1244 157742 Ingleside, ON, Canada
2728 2934 35757 Inglis, FL
2071 1518 20652 Ingolstadt, Germany
1515 783 190779 Innsbruck, Austria
2909 293 196946 International Falls, MN
375 782 88112 Invercargill, New Zealand
1250 2198 142517 Inverness, FL
2760 840 113201 Inverness, Scotland
355 2150 185808 Inverurie, Scotland UK
1607 1586 187450 Inwood, IA
1747 1898 70327 Iowa City, IA
1113 1625 65927 Iowa Park, TX
1649 696 167126 Ipoh, Malaysia
1959 2211 19315 Ipswich, England, UK
1821 2119 38828 Iqaluit, NWT, Canada
1775 2494 90932 Iquique, Chile
97 743 37425 Iquitos, Peru
2234 503 93425 Iraklion, Greece
932 858 36723 Ironton, OH
719 2464 142404 Ironwood, MI
531 1211 68930 Irvine, CA
1586 2323 177262 Irving, IL
2575 972 23632 Irving, TX
2082 2931 170991 Isen, Germany
2372 1751 112249 Ishpeming, MI
2954 525 78475 Islamabad, Pakistan
1318 621 127982 Islip, NY
1879 2855 161483 Istanbul, Turkey
281 787 18648 Ithaca, NY
832 1506 182909 Iwakuni, Japan
2968 2037 63592 Izmir, Turkey
1002 622 18440 Jablonec nad Nisou, Czech Republic
660 197 83209 Jacare, Brazil
1015 2278 78549 Jackson, MI
580 1649 195239 Jackson, MO
2264 1603 30224 Jackson, MS
441 2920 71616 Jackson, TN
2360 1799 61931 Jackson, WY
1783 2079 114369 Jacksonville, AL
2062 2911 14738 Jacksonville, FL
1806 2878 150487 Jacksonville, NC
2760 879 191942 Jaen, Spain
36 1539 5032 Jaffna, Sri Lanka
1285 2553 156882 Jakarta, Indonesia
2463 133 66805 Jamnagar, India
2391 2396 173631 Janesville, WI
2845 2836 168290 Jansen, NE
919 2196 88207 Jasper, GA
1848 978 26807 Jassy, Romania
563 40 20812 Jeannette, PA
784 1845 12626 Jefferson, WI
42 1604 71178 Jefferson City, MO
2921 1640 173730 Jefferson Township, NJ
2996 2924 143913 Jena, LA
2350 2387 152718 Jensen Beach, FL
352 1778 112393 Jerome, ID
2956 1622 101413 Jersey City, NJ
2480 2540 47760 Jersey Shore, PA
804 1388 112915 Jerseyville, IL
1206 1951 115525 Jerusalem, Israel
1518 2735 38501 Jesup, GA
1707 2776 145432 Joo Pessoa, Brazil
2775 2696 54760 Joensuu, Finland
2381 2692 49692 Johannesburg, South Africa
1540 2041 8776 Johnson City, TN
830 2393 127252 Johnstown, NY
2516 2348 35343 Johnstown, PA
1037 1828 4664 Joliet, IL
1754 2631 97147 Jonesboro, AR
447 836 27158 Jnkping, Sweden
2180 2354 9437 Joplin, MO
2758 1060 194468 Judenburg, Austria
1939 835 174194 June Lake, CA
2761 215 153646 Junction, TX
506 1754 89705 Jupiter, FL
638 2584 49177 Juva, Finland
2546 2100 5692 Jyvskyl, Finland
77 137 127538 Kabul, Afghanistan
147 1890 102922 Kadoka, SD
1604 2337 158651 Kaiserslautern, Germany
2011 1517 115535 Kalamazoo, MI
2153 1274 186200 Kalgoorlie, W.Australia
2070 213 41824 Kalispell, MT
1683 2973 56137 Kalkaska, MI
987 479 173051 Kalmar, Sweden
2333 1116 145284 Kamloops, BC, Canada
71 662 85229 Kampala, Uganda
156 738 94299 Kane, PA
2069 884 20252 Kankakee, IL
613 2487 176004 Kansas City, MO
2993 1498 77078 Kapfenberg, Austria
1726 650 161976 Kaposvr, Hungary
1519 2719 176128 Karachi, Pakistan
2146 1401 174294 Karlshamn, Sweden
2988 2388 6165 Karratha, W.Australia
2584 1721 80518 Karlskrona, Sweden
1763 1791 124603 Karlsruhe, Germany
41 1946 173764 Karlstad, Sweden
1456 1014 32663 Kassel, Germany
1760 1627 198448 Katherine, NT, Australia
1400 1619 98275 Kathmandu, Nepal
2556 344 141581 Kaunakakai, Molokai, HI
1985 1862 122835 Kearney, NE
1627 1007 16228 Kearney, ONT, Canada
1242 995 175407 Keene, NH
1334 578 90077 Keene Valley, NY
2542 2340 9413 Kelowna, BC, Canada
1411 2381 139108 Kemerovo, Siberia, Russia
1017 836 6700 Kempen, Germany
1507 2595 115109 Kendal, England
1484 995 22987 Kennebunk, ME
2958 550 45867 Kenniwick, WA
2082 2535 169948 Kenosha, WI
924 1162 37055 Kenton, MI
1168 2403 103323 Kenton, TN
799 737 141803 Kentville, NS, Canada
2150 278 97778 Kern River Valley, CA
2291 1689 56478 Kerrville, TX
1378 2706 112201 Keswick, ON, Canada
1478 1213 85199 Keszthely, Hungary
205 2696 151475 Ketchikan, AK
550 2654 188107 Kettering, England
1238 1736 157070 Key Largo, FL
787 2660 34491 Keyser, WV
1343 827 194664 Khancoban, Australia
2893 1625 43752 Kharkov, Ukraine
2020 775 62273 Khartoum, Sudan
486 66 174829 Kidderminster, England
1334 1443 155184 Kiel, Germany
17 2921 36000 Kiev, Ukraine
1295 126 15724 Kilkenny, Ireland
567 675 192630 Killarney, Ireland
388 1912 108300 Killingly, CT
2744 2699 85567 Kimberley, BC, Canada
262 1041 140659 Kimberley, South Africa
182 933 48983 King, NC
838 2953 100614 Kingman, AZ
1772 439 104966 King's Lynn, England
1394 1772 1146 Kingsport, TN
722 1788 195854 Kingston, Canada
1262 82 4199 Kingston, Jamaica
1498 648 49167 Kingston, NY
1387 1036 176623 Kingwood, TX
12 779 156517 Kinston, NC
1295 1041 25902 Kirtland, OH
405 1222 88101 Kiruna, Lapland/Sweden
1140 2059 84914 Kitchener, ONT, Canada
2649 831 114120 Klagenfurt, Austria
1224 2224 32197 Klazienaveen, Netherlands
1241 2946 151345 Knoxville, TN
1179 1208 156762 Koblenz, Germany
1242 2705 199923 Kodiak, AK
1979 1092 68934 Kokomo, IN
1629 1104 120864 Kolding, Denmark
976 2399 190203 Kona, HI
1365 2803 71615 Konstanz, Germany
2686 943 8853 Koszalin, Poland
960 592 64187 Kotka, Finland
2672 1815 12448 Kourou, French Guiana
155 55 8819 Kouvola, Finland
2425 1233 89299 Krakow, Poland
1776 2475 69612 Krasnoyarsk, Russia
1775 1453 142388 Kristiansand, Norway
2809 81 15927 Kristianstad, Sweden
1622 1057 175794 Kropp, Germany
1475 2422 162649 Krynica, Poland
2549 2107 25474 Kuala Lumpur, Malaysia
2682 67 64882 Kumla, Sweden
645 2738 185839 Kungsbacka, Sweden
832 2892 189491 Kununurra, West. Australia
964 2317 71691 Kuwait City, Kuwait
2303 1093 36637 Kwajalein, Marshall Islands
348 2867 133496 Kyoto, Japan
2483 2676 138890 L'Aquila, Italy
2722 1298 9337 La Coruna, Spain
2359 2772 170738 La Crescent, MN
1799 2321 111194 La Crosse, WI
2181 2003 115616 La Grande, OR
154 2648 98127 La Grange, CA
2942 479 90921 La Grange, MO
2784 1442 45343 La Mesa, CA
860 745 118156 La Paz, Bolivia
1409 1092 109282 La Plata, MD
412 575 87655 La Quinta, CA
2495 297 174138 La Rochelle, France
2635 2656 158932 La Salle, ON, Canada
2196 1454 113654 La Verne, CA
864 635 47155 Lac La Biche, AB, Canada
2598 789 23622 Lafayette, CA
1070 730 55502 Lafayette, LA
2434 514 151614 Lafayette, IN
114 1373 1258 Lagos, Nigeria
1886 2781 74043 Laguna Beach, CA
526 192 112359 Laguna Niguel, CA
1840 2687 132131 Lahaina, Maui, HI
1452 2321 109152 Lahore, Pakistan
836 1517 6072 Lahti, Finland
2541 2380 48362 Lake Arrowhead, CA
249 1978 100905 Lake Benton, MN
603 47 149538 Lake Bluff, IL
1435 2481 183753 Lake Charles, LA
710 2594 75240 Lake Geneva, WI
728 1480 60635 Lake Grace, W.Australia
1839 2005 73434 Lake Havasu City, AZ
524 845 52526 Lake Park, MN
2506 2297 7249 Lake Macquarie, Australia
1144 133 108340 Lake View, SC
1235 2674 66992 Lake Wales, FL
1960 2922 198821 Lakeland, FL
474 524 1954 Lakemoor, IL
2717 1959 167310 Lakewood, CA
2473 2668 140233 Lakewood, CO
602 396 38878 Lamar, MO
1511 2235 172527 Lancaster, CA
2613 2759 28835 Lancaster, England
401 2264 181939 Lancaster, PA
509 408 190771 Landisburg, PA
2134 1642 168985 Land O' Lakes, FL
139 602 163734 Landau/Pfalz, Germany
122 1075 198640 Landshut, Germany
151 791 129204 Langhorne, PA
2661 264 107040 Lansdale PA
1764 865 133406 L'Anse, MI
2347 2376 82343 Lansing, IL
1935 1988 66212 Lansing, KS
2368 2388 17141 Lansing, MI
2097 2897 44284 Lapeer, MI
1958 2031 153710 LaPorte, IN
1493 2170 193783 Lappeenranta, Finland
949 2291 65405 Laramie, WY
929 2441 118114 Laredo, TX
2867 2101 135665 Las Cruces, NM
1472 865 193295 Las Palmas de Gran Canaria, Spain
473 212 151640 Las Vegas, NM
1709 2146 84134 Las Vegas, NV
2702 1513 43302 LaSalle, IL
2959 610 36393 La Tuque, Canada
623 2567 171746 Launceston, Australia
2929 1060 116353 Lausanne, Switzerland
2835 2008 69035 Laval, France
816 2937 31746 Laverton, W.Australia
2588 2803 171796 Lawrence, KS
1623 1275 29417 Lawrence, MA
1523 1748 43487 Lawrenceville, GA
797 456 186533 Lawton, MI
2059 157 87389 Lawton, OK
2709 115 127994 Layton, UT
255 738 99120 Leakey, TX
2831 666 169748 Lebanon, KY
1576 501 103615 Lebanon, NH
2612 1317 99358 Lebanon, OH
88 904 86181 Lebanon, TN
2665 2527 171124 Lecce, Italy
106 1049 87592 Lecco, Italy
758 1846 117928 Lee's Summit, MO
556 904 128343 Leeds, England
1867 613 135978 Leesville, LA
787 867 185114 Leeuwarden, Netherlands
2274 697 29464 Le Grand, CA
1820 2273 62807 Legnano, Italy
374 1884 150549 Lehigh Acres, FL
1865 1971 10804 Lehighton, PA
157 1635 179236 Leicester, England
2724 1740 49140 Leichlingen, Germany
1038 2498 172155 Leiden, Netherlands
2807 54 32415 Leigh Creek, SA, Australia
